ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,neg_log10_pvalue
BP,GO:0104004,cellular response to environmental stimulus,331/18723,0.0001533076815145,0.0067954091601441,0.0055879045868454,TIMP1/MYLK/CRYAB/WNK3/SOX9/PTN/NUCKS1/NIPBL/RAC1/DHX36/XRCC5/PIK3R1/PARP1/USP47/TSPO,15,15/281,3.8144360841816187
BP,GO:0018022,peptidyl-lysine methylation,131/18723,0.0001628435290993,0.0068968451832314,0.0056713160202593,LMNA/SETD2/RTF1/ATRX/SETD5/ASH1L/BRD4/RIF1/KMT2A,9,9/281,3.7882294942824184
BP,GO:0019079,viral genome replication,131/18723,0.0001628435290993,0.0068968451832314,0.0056713160202593,NUCKS1/IFITM3/NFIA/CDC42/VAPA/PKN2/LARP1/MPHOSPH8/IFI27,9,9/281,3.7882294942824184
BP,GO:0019827,stem cell population maintenance,131/18723,0.0001628435290993,0.0068968451832314,0.0056713160202593,SOX9/PTN/NIPBL/STAT3/RTF1/SMC5/ZFP36L2/RIF1/SMC3,9,9/281,3.7882294942824184
BP,GO:0048193,Golgi vesicle transport,296/18723,0.0001631412151785,0.0068968451832314,0.0056713160202593,SEC31A/TAPBP/RAB31/VAPA/GABARAPL2/LMAN1/MACF1/SPTBN1/TRIP11/VAMP2/AP3S1/ARFGEF2/SCFD1/USO1,14,14/281,3.7874363071180337
BP,GO:0035633,maintenance of blood-brain barrier,35/18723,0.0001649693873673,0.0068968451832314,0.0056713160202593,ACTG1/CLDN1/WNK3/LAMA2/LSR,5,5/281,3.7825966383977256
BP,GO:0010720,positive regulation of cell development,298/18723,0.00017493499947,0.0072313018320251,0.0059463416732923,MAP1B/IL6ST/PTN/ARPC2/RAC1/CDC42/DHX36/NEDD9/MACF1/S100A10/FZD3/XRCC5/PRKDC/TSPO,14,14/281,3.757123291973355
BP,GO:0030705,cytoskeleton-dependent intracellular transport,195/18723,0.0001823375508994,0.0074184365977848,0.0061002236826465,SYNE2/MAP1B/HSPB1/WASL/ARMCX3/CDC42/ACTN4/CCDC186/AP3S1/DST/BLOC1S6,11,11/281,3.739123882804042
BP,GO:0010770,positive regulation of cell morphogenesis involved in differentiation,79/18723,0.0001834948981784,0.0074184365977848,0.0061002236826465,ARPC2/RAC1/CDC42/DHX36/NEDD9/S100A10/PRKDC,7,7/281,3.7363760062008313
BP,GO:0098727,maintenance of cell number,134/18723,0.0001932555446269,0.0077281211813321,0.0063548791219434,SOX9/PTN/NIPBL/STAT3/RTF1/SMC5/ZFP36L2/RIF1/SMC3,9,9/281,3.7138680370405663
BP,GO:1900024,regulation of substrate adhesion-dependent cell spreading,57/18723,0.0002068642154452,0.0081833704153015,0.0067292332222934,ARPC2/RAC1/CDC42/NEDD9/S100A10/ACTN4,6,6/281,3.6843146295797853
BP,GO:0051567,histone H3-K9 methylation,37/18723,0.0002161542414114,0.0083708574121338,0.006883404873313,LMNA/ATRX/SETD5/ASH1L/RIF1,5,5/281,3.6652362382543444
BP,GO:1902745,positive regulation of lamellipodium organization,37/18723,0.0002161542414114,0.0083708574121338,0.006883404873313,ARPC2/RAC1/CDC42/PIK3R1/ENPP2,5,5/281,3.6652362382543444
BP,GO:0034446,substrate adhesion-dependent cell spreading,108/18723,0.0002244161265996,0.0086002805183355,0.0070720608316608,ARPC2/RAC1/CDC42/NEDD9/S100A10/ACTN4/NTN4/PIK3R1,8,8/281,3.6489459377832176
BP,GO:0007063,regulation of sister chromatid cohesion,21/18723,0.0002430067909502,0.0092167214835678,0.0075789638327846,RAD21/SLF2/ATRX/SMC5,4,4/281,3.614381589648647
BP,GO:0016571,histone methylation,141/18723,0.000282957597616,0.0106224592003022,0.0087349101562691,LMNA/SETD2/RTF1/ATRX/SETD5/ASH1L/BRD4/RIF1/KMT2A,9,9/281,3.5482786404513758
