cell_type,avg_expr,pct_expr,gene
Myeloid,2.3874349414718,0.7182797183487505,MYH11
SPCs,0.0323250320695258,0.03159679408138101,MYH11
SPGs,0.03128788761003278,0.030443876365326517,MYH11
SSCs,0.07377184489676884,0.06412904494934592,MYH11
STs,0.10778708847264512,0.1060630171865054,MYH11
Spermatids,0.18228881188364826,0.15923134379031711,MYH11
ECs,0.03643258110430057,0.03172314347512617,NOTCH3
LCs,0.05773093141799232,0.042709735307312695,NOTCH3
Lym,0.027410357054573536,0.020179372197309416,NOTCH3
Myeloid,0.36337382502850785,0.2282893828524092,NOTCH3
SPCs,0.005471651370002074,0.006935881627620222,NOTCH3
SPGs,0.020941794077906254,0.022310016267720195,NOTCH3
SSCs,0.010245050366935305,0.00944231336677486,NOTCH3
STs,0.007654087759084872,0.00787714831317632,NOTCH3
Spermatids,0.0031768667679288897,0.0039043932912337883,NOTCH3
ECs,3.1607805228568533,0.9801730353280461,VIM
LCs,2.841099765678862,0.9578286227007626,VIM
Lym,1.1770435693953605,0.6659192825112108,VIM
Myeloid,2.584016248812156,0.8952091674720419,VIM
SPCs,0.12051233680489325,0.13671393341553637,VIM
SPGs,0.09091804367898094,0.09016964908203579,VIM
SSCs,0.30337858391778944,0.2363529064620832,VIM
STs,2.1049156358274663,0.9734245703373647,VIM
Spermatids,0.11815201601558283,0.1239559991851701,VIM
